 ===============================================================
         Steady state solution for a 2D rectangular plate       
             with borders at constant temperature               
                 Adimensional temperatures                      
 ===============================================================
                 Author: Dickson Alves de Souza                 
    Based on lectures by professor Roberto Parreiras Tavares    
       and book Numerical Heat Transfer and Fluid Flow          
       by Suhas V. Patankar (1980)                              
                                                                
               Federal University of Minas Gerais               
                      September 21st, 2017                      
 ===============================================================
                       Input parameters:                        
 
 Lenght in X direction:     5.000000
 Lenght in Y direction:     5.000000
 Nodes in X direction:           200
 Nodes in Y direction:           200
 Temperature T1 (left, right and bottom borders):  1200.000000
 Temperature T2 (top border):                       700.000000
 
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
     No relaxation applied to solution.
 Tolerance: 0.100000E-03
 
 Iterations:                 33604
 ========================================================================
                    Calculation Results                                  
                    Adimensional Values                                  
 ========================================================================
            I           J         X/L         Y/W           T   Exact Sol
            2          43    0.010050    0.216080    0.002589    0.002573
            2          44    0.010050    0.221106    0.002659    0.002643
            2          45    0.010050    0.226131    0.002730    0.002713
            2          46    0.010050    0.231156    0.002801    0.002784
            2          47    0.010050    0.236181    0.002873    0.002856
            2          48    0.010050    0.241206    0.002946    0.002928
            2          49    0.010050    0.246231    0.003020    0.003002
            2          50    0.010050    0.251256    0.003095    0.003076
            2          51    0.010050    0.256281    0.003170    0.003151
            2          52    0.010050    0.261307    0.003246    0.003227
            2          53    0.010050    0.266332    0.003323    0.003304
            2          54    0.010050    0.271357    0.003401    0.003382
            2          55    0.010050    0.276382    0.003480    0.003460
            2          56    0.010050    0.281407    0.003560    0.003540
            2          57    0.010050    0.286432    0.003641    0.003620
            2          58    0.010050    0.291457    0.003723    0.003702
            2          59    0.010050    0.296482    0.003805    0.003785
            2          60    0.010050    0.301508    0.003889    0.003868
            2          61    0.010050    0.306533    0.003974    0.003953
            2          62    0.010050    0.311558    0.004060    0.004039
            2          63    0.010050    0.316583    0.004148    0.004126
            2          64    0.010050    0.321608    0.004236    0.004214
            2          65    0.010050    0.326633    0.004325    0.004303
            2          66    0.010050    0.331658    0.004416    0.004394
            2          67    0.010050    0.336683    0.004508    0.004486
            2          68    0.010050    0.341709    0.004601    0.004579
            2          69    0.010050    0.346734    0.004696    0.004673
